140200,2,170311402002,11
831800,5,170318318005,19
140302,3,170311403023,9
140302,2,170311403022,17
140800,2,170311408002,9
040900,1,170310409001,9
040900,2,170310409002,7
831800,4,170318318004,20
040600,3,170310406003,9
040401,2,170310404012,3
140800,4,170311408004,5
040700,1,170310407001,5
140602,2,170311406022,1
140100,1,170311401001,4
040600,2,170310406002,6
140301,1,170311403011,7
040201,2,170310402012,4
140301,2,170311403012,5
040202,3,170310402023,8
040202,1,170310402021,3
040202,4,170310402024,10
040201,3,170310402013,6
040202,2,170310402022,7
140602,3,170311406023,9
140602,4,170311406024,2
040401,1,170310404011,3
140200,3,170311402003,23
040800,1,170310408001,2
140800,5,170311408005,2
040600,1,170310406001,5
140702,3,170311407023,4
040700,3,170310407003,2
140200,1,170311402001,7
140702,1,170311407021,2
831800,2,170318318002,3
140302,1,170311403021,2
040300,3,170310403003,3
831800,1,170318318001,7
140601,1,170311406011,9
140800,1,170311408001,2
040401,3,170310404013,6
040100,2,170310401002,2
040700,4,170310407004,1
040300,2,170310403002,1
040201,1,170310402011,4
040402,3,170310404023,1
040100,1,170310401001,6
140602,1,170311406021,9
831800,3,170318318003,4
040401,4,170310404014,4
040100,3,170310401003,5
140100,2,170311401002,8
040201,4,170310402014,3
140702,2,170311407022,1
140701,1,170311407011,9
140800,3,170311408003,5
040300,1,170310403001,9
140701,2,170311407012,5
040402,4,170310404024,4
040700,2,170310407002,2
051400,2,170310514002,3
210601,2,170312106012,16
050200,2,170310502002,15
050200,1,170310502001,2
160700,5,170311607005,2
160800,1,170311608001,8
210602,2,170312106022,11
160800,2,170311608002,4
210900,1,170312109001,16
160800,4,170311608004,3
160502,1,170311605021,3
160501,1,170311605011,10
160602,2,170311606022,30
831100,4,170318311004,24
210100,2,170312101002,10
210502,3,170312105023,2
210502,1,170312105021,7
210601,3,170312106013,12
831100,1,170318311001,12
160601,3,170311606013,16
160800,3,170311608003,18
210602,1,170312106021,8
210601,1,170312106011,8
831100,3,170318311003,22
050500,3,170310505003,6
210100,3,170312101003,5
160400,1,170311604001,27
160602,3,170311606023,15
160700,2,170311607002,11
160700,3,170311607003,9
050800,1,170310508001,12
050300,1,170310503001,12
160900,1,170311609001,16
160502,2,170311605022,12
160502,3,170311605023,11
051400,1,170310514001,6
050900,1,170310509001,5
051000,1,170310510001,5
160601,2,170311606012,2
210602,3,170312106023,10
210501,2,170312105012,20
160800,5,170311608005,5
160601,1,170311606011,4
160700,4,170311607004,13
210100,1,170312101001,5
050500,2,170310505002,12
831100,2,170318311002,7
160602,1,170311606021,13
050200,3,170310502003,4
160900,2,170311609002,3
160501,2,170311605012,11
160400,2,170311604002,21
843700,1,170318437001,3
210700,1,170312107001,5
051100,1,170310511001,12
210502,2,170312105022,4
210501,1,170312105011,3
160400,3,170311604003,6
050300,3,170310503003,10
160700,1,170311607001,3
050500,5,170310505005,6
210900,2,170312109002,2
210700,3,170312107003,5
050500,4,170310505004,2
843700,2,170318437002,1
210700,2,170312107002,2
050300,2,170310503002,1
310300,1,170313103001,16
840400,1,170318404001,17
310600,3,170313106003,46
840400,2,170318404002,13
310900,3,170313109003,13
310800,2,170313108002,8
310600,1,170313106001,27
843200,2,170318432002,14
310700,1,170313107001,18
310400,1,170313104001,14
840200,1,170318402001,23
841300,2,170318413002,16
843300,1,170318433001,12
310900,1,170313109001,22
600600,1,170316006001,21
600700,1,170316007001,8
600700,2,170316007002,15
841300,4,170318413004,3
840700,3,170318407003,14
840300,3,170318403003,32
841200,2,170318412002,24
842900,4,170318429004,16
600900,2,170316009002,11
301200,2,170313012002,11
310800,1,170313108001,7
842900,2,170318429002,4
301200,3,170313012003,4
